College Name,Branch,Category,Percentile
VJTI,Computer Engineering,General,98.5
VJTI,Information Technology,OBC,96.7
VJTI,Mechanical Engineering,SC,89.4
SPIT,Computer Engineering,General,97.2
SPIT,Electronics and Telecommunication,OBC,93.1
SPIT,IT,SC,88.3
DJ Sanghvi,Computer Engineering,General,96.9
DJ Sanghvi,IT,OBC,94.5
DJ Sanghvi,Mechanical Engineering,SC,84.7
KJ Somaiya,Electronics,General,91.3
KJ Somaiya,IT,OBC,90.5
KJ Somaiya,Computer Engineering,SC,85.0
Thakur College,Computer Engineering,General,89.5
Thakur College,IT,OBC,87.2
Thakur College,Mechanical Engineering,SC,80.3
RAIT,Computer Engineering,General,92.1
RAIT,Electrical Engineering,OBC,89.8
RAIT,IT,SC,82.0
Sardar Patel Institute,Computer Engineering,General,95.4
Sardar Patel Institute,IT,OBC,91.9
Sardar Patel Institute,Mechanical Engineering,SC,83.0
